SampleLogFunc,Average,LogStandardDeviation,Cutoff
-14935.658,-.14885193E-01,-.15222189E-01,.69321748
-14936.020,.38634781E-02,-.10318048E-01,.69302319
-14939.954,.21707402E-01,-.60728639E-02,.69318702
-14935.154,-.21606853E-01,-.23106155E-01,.69300405
-14934.838,.52273153E-02,.12589643E-02,.69301669
-14939.142,.39320366E-01,.22527954E-01,.69307592
-14934.368,-.31372594E-01,-.13592335E-01,.69301795
-14938.239,.28035481E-01,.18830825E-01,.69313208
-14937.207,-.47429508E-02,-.21350759E-02,.69347835
-14934.743,-.83918224E-02,-.11003036E-01,.69306448
-14937.310,.10685283E-01,-.30742830E-02,.69326683
-14935.117,-.44486031E-03,-.80099291E-03,.69311348
-14935.537,.48983674E-02,.85084987E-02,.69302190
-14934.380,-.34138841E-01,-.22953445E-01,.69299789
-14934.803,-.65091125E-02,-.22189520E-02,.69309536
-14937.411,-.10378228E-04,.12747328E-01,.69310380
-14935.378,-.12519586E-01,-.15660508E-01,.69312507
-14936.932,-.55985226E-01,-.30282136E-01,.69316625
-14935.598,-.36891437E-01,-.28203216E-01,.69309217
-14935.294,-.46088520E-01,-.21420033E-01,.69303449
-14936.011,-.30890558E-01,-.28257534E-01,.69309557
-14934.968,-.28423111E-01,-.17575637E-01,.69315431
-14935.725,-.17311307E-01,-.20234071E-01,.69312332
-14935.156,-.21900105E-01,-.99424322E-02,.69319280
-14935.618,-.37731147E-01,-.14446378E-01,.69313592
-14935.356,-.15465821E-01,-.11718632E-01,.69322649
-14937.052,-.25569690E-01,-.37828983E-02,.69330313
-14935.925,-.33864069E-02,-.13117295E-01,.69310106
-14935.503,.65259720E-02,.43709503E-02,.69309369
-14935.879,-.37779053E-01,-.26483758E-01,.69318596
-14936.081,.11048247E-01,-.13361321E-02,.69310014
-14934.415,-.60694443E-02,-.36010803E-02,.69304158
-14935.367,-.42245012E-02,-.12104386E-01,.69306369
-14934.558,-.10606657E-01,-.34951526E-02,.69306758
-14936.248,-.46130995E-01,-.30851277E-01,.69314851
-14934.876,-.63689255E-02,-.61231674E-02,.69311802
-14935.405,.50074870E-02,-.67672976E-02,.69300955
-14937.203,.65717142E-02,-.15435483E-02,.69336230
-14934.659,-.30851187E-01,-.17415597E-01,.69309605
-14937.135,-.19701399E-01,-.18495962E-01,.69344456
-14934.173,-.82163945E-02,-.83521833E-02,.69300622
-14935.815,-.34695084E-01,-.30830869E-01,.69301066
-14937.534,-.33519141E-01,-.17919060E-01,.69355608
-14935.134,-.31584377E-01,-.14590615E-01,.69315477
-14934.847,-.27729311E-01,-.19083610E-01,.69312010
-14935.430,-.38958881E-01,-.18507403E-01,.69314896
-14934.503,-.21632790E-01,-.55387034E-02,.69301030
-14934.251,-.14536891E-01,-.10576638E-01,.69304929
-14935.043,-.36566925E-01,-.18694298E-01,.69311666
-14936.085,-.32908345E-01,-.10696445E-01,.69321773
-14934.877,-.23789817E-01,-.51172401E-02,.69302634
-14936.158,-.44998457E-01,-.32113509E-01,.69310187
-14935.715,-.33003526E-01,-.11233680E-01,.69316851
-14934.918,-.33087072E-01,-.19063794E-01,.69312438
-14935.415,-.35363286E-02,.35228747E-02,.69309894
-14935.740,.96643003E-02,.45935819E-02,.69310484
-14938.960,-.22443241E-01,-.13025067E-02,.69358515
-14934.625,-.38273394E-01,-.21458042E-01,.69303437
-14936.382,-.42973301E-01,-.15242178E-01,.69316135
-14935.773,-.20144591E-01,-.53084629E-02,.69323180
-14934.523,-.33449870E-01,-.17803994E-01,.69305666
-14934.496,-.25624793E-01,-.10022658E-01,.69305361
-14936.586,-.60917328E-02,-.15241869E-01,.69319761
-14938.460,-.31297961E-01,-.64567816E-02,.69350640
-14934.248,-.18833920E-01,-.83989971E-02,.69304503
-14935.021,-.16270033E-01,-.14403426E-01,.69314562
-14935.645,-.26804335E-01,-.47932968E-02,.69308228
-14936.497,-.42106249E-01,-.20904259E-01,.69330117
-14935.641,-.39388423E-01,-.31150785E-01,.69302066
-14934.940,-.26653997E-01,-.18846492E-01,.69313527
-14934.690,-.24340882E-01,-.12844054E-01,.69312416
-14935.617,-.39197053E-01,-.13896682E-01,.69308996
-14934.495,-.21357296E-01,-.49682479E-02,.69299800
-14937.032,.10314479E-01,.26902537E-02,.69330528
-14935.327,.27339771E-02,.35010790E-02,.69309300
-14937.740,.26676985E-01,.14816780E-01,.69313909
-14936.164,.11366261E-01,.59650267E-02,.69314688
-14938.371,-.47898242E-01,-.41568440E-01,.69308147
-14935.225,-.56630454E-02,-.15648920E-02,.69315578
-14935.142,-.14471958E-02,-.59830834E-02,.69310667
-14934.353,-.25337250E-01,-.17594781E-01,.69305023
-14935.147,-.39798497E-01,-.20037678E-01,.69310209
-14935.935,-.29739599E-01,-.21516945E-01,.69326910
-14933.976,-.14825318E-01,-.83527571E-02,.69300822
-14936.337,-.93298270E-02,-.11999628E-01,.69331661
-14936.348,-.40536527E-01,-.17218496E-01,.69325782
-14935.445,-.31217365E-01,-.20173110E-01,.69320978
-14935.909,-.24360168E-01,-.46840072E-02,.69317188
-14934.447,-.91918564E-02,-.12387537E-01,.69300086
-14935.178,-.20598528E-01,-.21558221E-01,.69304678
-14934.538,-.14265903E-02,-.39390286E-02,.69302754
-14934.958,-.16590492E-01,-.26144003E-02,.69307280
-14935.446,-.96642596E-02,-.46745518E-02,.69322361
-14935.123,-.21420517E-03,.42150660E-02,.69304839
-14938.108,-.29477231E-01,-.16631693E-01,.69367322
-14935.584,.35295165E-02,-.62005513E-02,.69308523
-14935.603,-.79887712E-02,-.98332942E-02,.69321716
-14936.836,-.21381045E-01,-.13327385E-01,.69348081
-14941.218,-.14022169E-01,.14027245E-01,.69325827
-14934.497,-.99403569E-02,-.92929887E-02,.69306613
-14936.487,-.12462374E-01,-.20739539E-01,.69311532
-14936.101,-.89740765E-02,-.10502312E-02,.69328425
-14935.307,-.34100645E-01,-.12457941E-01,.69310970
-14935.601,-.31431157E-01,-.97022157E-02,.69313930
-14936.707,.12189956E-01,.16158545E-03,.69319923
-14935.724,.18233951E-03,.55474484E-03,.69319900
-14937.512,.29399661E-01,.10156112E-01,.69305956
