SampleLogFunc,Average,LogStandardDeviation,Cutoff
-14934.700,.42987242E-03,-.26708466E-02,.69303950
-14940.006,-.29025473E-01,-.15141639E-01,.69398663
-14939.524,-.39656946E-01,-.32264634E-01,.69362890
-14935.779,-.77624021E-02,-.10521492E-01,.69323129
-14935.243,-.21485195E-01,-.20289106E-01,.69311076
-14935.557,.82177862E-02,-.33342068E-02,.69304079
-14934.287,-.12032073E-01,-.11965802E-01,.69302063
-14934.287,-.12032073E-01,-.11965802E-01,.69302063
-14934.442,-.21068521E-01,-.17722780E-01,.69303679
-14935.028,-.36947993E-01,-.24841475E-01,.69307525
-14934.578,-.20934170E-01,-.13404725E-01,.69311016
-14936.310,-.32735684E-01,-.14445368E-01,.69333409
-14936.388,-.34352518E-01,-.18753504E-01,.69336078
-14935.090,-.14338203E-01,-.58434645E-02,.69317242
-14934.873,-.92594767E-02,-.51857508E-02,.69313297
-14936.002,.15903408E-02,.26234627E-02,.69321630
-14936.439,-.18284985E-01,-.11032253E-01,.69341640
-14935.332,-.23880360E-01,-.32199905E-02,.69303435
-14934.801,-.35117701E-01,-.14871466E-01,.69305532
-14934.801,-.35117701E-01,-.14871466E-01,.69305532
-14934.819,-.39963438E-01,-.19614239E-01,.69304207
-14934.819,-.39963438E-01,-.19614239E-01,.69304207
-14935.634,-.46336479E-01,-.20765120E-01,.69307751
-14935.426,-.34934800E-01,-.10341237E-01,.69305309
-14936.015,-.37600501E-01,-.88772023E-02,.69302464
-14936.015,-.37600501E-01,-.88772023E-02,.69302464
-14934.556,-.33554523E-01,-.14176706E-01,.69302768
-14935.495,-.30451284E-01,-.14962298E-01,.69322925
-14935.496,-.12775865E-03,.66990739E-02,.69304353
-14935.677,.12678898E-02,.11662991E-02,.69318105
-14934.687,-.12285919E-01,-.14330667E-01,.69304322
-14935.897,-.13454068E-01,.30984781E-02,.69307704
-14937.072,-.65715542E-03,-.75705437E-02,.69337747
-14936.664,-.41847175E-01,-.15554554E-01,.69324594
-14938.741,-.67320996E-01,-.36580253E-01,.69320949
-14936.414,-.23020662E-01,-.44578377E-03,.69311545
-14937.745,-.13826778E-01,-.31804266E-02,.69356580
-14938.672,-.37456062E-01,-.33988770E-01,.69338041
-14935.276,-.44483174E-01,-.19554456E-01,.69303786
-14936.621,-.26392552E-01,-.11111698E-02,.69309293
-14936.160,-.54135707E-01,-.29016813E-01,.69307094
-14939.324,-.36133107E-01,-.84989118E-02,.69360380
-14936.217,-.62007607E-02,-.12249712E-02,.69331200
-14934.141,-.13706727E-01,-.58839107E-02,.69302010
