ProcessID,DelayedRejectionStage,MeanAcceptanceRate,AdaptationMeasure,BurninLocation,SampleWeight,SampleLogFunc,Average,LogStandardDeviation,Cutoff
1,0,.13483683,.0000000,1,85,-14935.402,-.21518316E-01,-.52662346E-02,.69315228
1,0,.13319489,.41502363E-01,1,30,-14935.599,-.82641848E-02,-.32875024E-03,.69319228
1,0,.13162623,.0000000,1,24,-14936.918,-.70232948E-02,-.52173267E-02,.69345391
1,0,.12610159,.0000000,1,107,-14937.249,.11896522E-01,.11861257E-01,.69321345
1,0,.12565899,.44349836E-01,1,18,-14936.869,-.17043958E-01,-.13912305E-01,.69346095
1,0,.12505971,.0000000,1,10,-14939.677,.77013904E-02,.15433221E-01,.69344227
1,0,.12539084,.0000000,1,3,-14937.987,.48697029E-02,-.13193834E-01,.69317741
1,0,.12562425,.0000000,1,1,-14938.536,-.77832540E-02,-.18730967E-01,.69340900
1,0,.12547574,.77968224E-02,1,11,-14937.298,-.28284846E-01,-.27182952E-01,.69331064
1,0,.12550846,.0000000,1,8,-14940.787,-.19097633E-01,-.28605320E-01,.69357897
1,0,.12563649,.0000000,1,6,-14935.712,-.13674585E-01,-.16359104E-01,.69317958
1,0,.12568766,.0000000,1,2,-14936.757,.65079902E-03,-.14207424E-01,.69307566
1,0,.12582117,.0000000,1,3,-14937.204,-.14124078E-01,-.17190334E-01,.69340525
1,0,.12576897,.51471196E-02,1,6,-14937.650,-.77961009E-02,-.42957142E-02,.69357359
1,0,.12589296,.0000000,1,1,-14938.644,-.18895626E-02,-.97405410E-02,.69360480
1,0,.12432123,.0000000,1,35,-14937.145,.12959445E-01,-.18909560E-02,.69321153
1,0,.12206535,.19117087E-01,1,51,-14937.177,.20195386E-01,.89216499E-02,.69318319
1,0,.12169799,.0000000,1,21,-14936.745,.68139520E-02,.20323751E-02,.69330300
1,0,.12070202,.0000000,1,26,-14935.468,-.17415807E-01,-.15700540E-01,.69320723
1,0,.12055520,.31447136E-01,1,11,-14934.673,-.27820600E-01,-.18619386E-01,.69309696
1,0,.11949158,.0000000,1,24,-14935.225,-.10555378E-01,-.96061031E-02,.69318661
1,0,.11930566,.0000000,1,9,-14937.946,-.45095023E-01,-.24917979E-01,.69351401
1,0,.11878249,.98905680E-02,1,18,-14937.491,-.21537110E-01,-.57623590E-02,.69350737
1,0,.11847232,.0000000,1,14,-14937.514,-.21299794E-01,-.24223478E-01,.69333819
1,0,.11698117,.0000000,1,41,-14937.504,-.72010210E-03,.87250148E-03,.69348533
1,0,.11669903,.14009403E-01,1,10,-14938.311,.99474715E-02,.16468072E-01,.69320011
1,0,.11682609,.0000000,1,1,-14939.226,.11090195E-03,.76984191E-02,.69361234
1,0,.11722125,.0000000,1,1,-14939.130,.18724563E-01,-.56291869E-03,.69339764
1,0,.11572720,.37848161E-02,1,45,-14937.180,.13026932E-01,.29323262E-02,.69328751
1,0,.11601314,.0000000,1,3,-14934.932,.28844310E-02,-.96776725E-04,.69305595
1,0,.11596166,.0000000,1,2,-14937.100,.21646803E-02,.12237853E-01,.69311150
1,0,.11607159,.0000000,1,3,-14937.612,.17077882E-01,.12718361E-01,.69323797
1,0,.11627636,.0000000,1,1,-14938.149,.31758848E-01,.83742947E-02,.69306893
1,0,.11604829,.15360234E-01,1,11,-14939.520,.30245855E-01,.71230984E-02,.69330166
1,0,.11529586,.0000000,1,25,-14937.850,.10628926E-01,.36820647E-02,.69343166
1,0,.11354749,.0000000,1,57,-14935.728,.29985393E-02,-.22790206E-02,.69317497
1,0,.11344003,.22657210E-01,1,10,-14935.863,-.20395489E-01,-.25297495E-01,.69299855
1,0,.11269793,.0000000,1,23,-14936.314,-.16565878E-01,-.15536202E-01,.69333872
1,0,.11244177,.0000000,1,9,-14937.249,-.22616375E-01,-.48428392E-02,.69342753
1,0,.11206957,.83244050E-02,1,18,-14936.294,-.40845946E-01,-.15044962E-01,.69319474
1,0,.11221026,.0000000,1,6,-14935.501,-.20384752E-01,-.20544742E-02,.69308730
1,0,.11177290,.0000000,1,20,-14935.012,.10931673E-02,.41498540E-02,.69303376
1,0,.11181303,.66162602E-02,1,6,-14935.315,-.17647336E-01,-.29952273E-02,.69312845
1,0,.11045422,.0000000,1,52,-14934.538,-.10989073E-01,-.56496338E-02,.69308424
1,0,.10984050,.0000000,1,26,-14934.961,-.16065455E-01,-.85624918E-02,.69316956
1,0,.10788735,.18193990E-01,1,62,-14934.826,-.31130325E-01,-.18544735E-01,.69311950
1,0,.10785979,.0000000,1,7,-14935.554,-.34773610E-01,-.21330809E-01,.69321042
1,0,.10759350,.0000000,1,11,-14936.351,-.23463395E-01,-.80146541E-02,.69334684
1,0,.10754478,.14577673E-01,1,13,-14935.793,-.75273527E-02,.66849544E-02,.69300784
1,0,.10736390,.0000000,1,8,-14936.761,-.18672460E-01,.45076527E-02,.69303199
1,0,.10713304,.0000000,1,16,-14936.411,-.21886682E-01,.19818824E-02,.69302413
1,0,.10687490,.61033907E-02,1,18,-14937.243,-.86993801E-02,.68465655E-02,.69321560
1,0,.10708765,.0000000,1,4,-14935.488,-.13730482E-01,-.67079074E-02,.69324596
1,0,.10726828,.0000000,1,5,-14934.657,-.20386030E-01,-.18470725E-01,.69304873
1,0,.10692654,.41251181E-02,1,10,-14936.618,-.27354772E-01,-.18173825E-02,.69310043
1,0,.10698254,.0000000,1,5,-14936.994,-.37384188E-01,-.33834884E-01,.69310785
1,0,.10672690,.0000000,1,16,-14935.425,-.33346890E-01,-.15081455E-01,.69318740
1,0,.10693723,.0000000,1,3,-14935.536,-.10135887E-01,-.18549647E-01,.69299821
1,0,.10670703,.55685478E-02,1,16,-14935.458,-.35029689E-02,.69272453E-02,.69299945
1,0,.10655026,.0000000,1,14,-14935.681,-.15189653E-01,-.15356445E-01,.69322241
1,0,.10615205,.0000000,1,21,-14935.613,-.18994275E-01,-.21284532E-01,.69309896
