ProcessID,DelayedRejectionStage,MeanAcceptanceRate,AdaptationMeasure,BurninLocation,SampleWeight,SampleLogFunc,Average,LogStandardDeviation,Cutoff
1,0,.32364771,.0000000,1,1,-14935.881,-.41448799E-02,.53555451E-03,.69323332
1,0,.32366140,.13955859,1,3,-14936.287,-.78464026E-02,.24548032E-02,.69323793
1,0,.32308781,.0000000,1,2,-14937.279,-.14274595E-01,.56459586E-02,.69316618
1,0,.32466934,.0000000,1,2,-14937.682,-.12127496E-01,.40399241E-02,.69335128
1,0,.32546138,.0000000,1,2,-14936.701,-.10534577E-01,.31066071E-02,.69325322
1,0,.32553174,.0000000,1,1,-14937.723,-.10816068E-01,.32488591E-02,.69341010
1,0,.32382905,.18218129,1,7,-14935.076,-.65745374E-02,.19931610E-02,.69306461
1,0,.32441254,.0000000,1,2,-14935.465,-.89430819E-02,.25755267E-02,.69309040
1,0,.32538570,.0000000,1,3,-14935.698,-.57543194E-02,.25137481E-03,.69320617
1,0,.32661312,.0000000,1,1,-14935.761,-.66471677E-02,.32444232E-03,.69321228
1,0,.32687973,.0000000,1,3,-14935.387,-.52552095E-02,-.95818368E-04,.69316253
1,0,.32694999,.17395542,1,3,-14935.615,-.97678819E-02,.21243174E-02,.69311986
1,0,.32257004,.97289007E-01,1,10,-14934.566,-.70082804E-02,.89717650E-03,.69300570
1,0,.32321480,.0000000,1,5,-14934.849,-.23916000E-02,-.25306941E-02,.69308842
1,0,.32435427,.0000000,1,1,-14934.934,-.15543695E-02,-.33658636E-02,.69309478
1,0,.32564614,.0000000,1,1,-14934.767,-.34564809E-02,-.13104467E-02,.69307487
1,0,.32654524,.0000000,1,1,-14934.994,-.54530434E-02,.21903634E-03,.69309374
1,0,.32415041,.22103899,1,8,-14935.388,-.59991393E-02,.71296717E-03,.69314682
1,0,.32427831,.0000000,1,1,-14936.324,-.11273517E-01,.15137708E-02,.69323704
1,0,.32554371,.0000000,1,1,-14934.623,-.80647513E-02,.52236167E-03,.69301714
1,0,.32387319,.0000000,1,4,-14936.015,-.60975959E-02,-.85067754E-03,.69327432
