ProcessID,DelayedRejectionStage,MeanAcceptanceRate,AdaptationMeasure,BurninLocation,SampleWeight,SampleLogFunc,intercept,slope,logSigma
1,0,.12839948,.0000000,14,6,-1.9538592,.90626468,1.9962336,-1.0431396
1,0,.12861084,.0000000,14,5,-1.9241995,.87939125,2.0570963,-.87417862
1,0,.12881516,.0000000,14,3,-2.2106424,1.1251382,1.9894181,-1.6387201
1,0,.12867582,.40973713E-02,14,14,-2.0806087,.98327218,1.9583688,-1.3378132
1,0,.12893236,.0000000,14,4,-3.3337816,1.2193998,1.9306220,-.48708159
1,0,.12935189,.0000000,14,3,-2.6446639,1.0830690,1.8580330,-.82837871
1,0,.12999754,.46216792E-02,14,4,-1.3017866,1.1924342,1.9821389,-1.1989861
1,0,.13016131,.0000000,14,4,-1.5034255,1.2006830,1.9778964,-1.0206383
1,0,.13019412,.0000000,14,1,-3.1652931,1.4121919,1.8391884,-.63596965
1,0,.13055289,.0000000,14,4,-3.0632224,.84474198,2.2575197,-.60601998
1,0,.13095858,.0000000,14,2,-2.5613871,.81221882,2.2734221,-.78459655
1,0,.13143897,.21404331E-02,14,4,-2.8681066,1.1577296,1.9938853,-.57661243
1,0,.13129786,.0000000,14,11,-1.5719562,1.1870037,1.9187679,-.99509367
1,0,.13131029,.0000000,14,2,-2.8255737,1.4178453,1.7881886,-1.1037784
1,0,.13178215,.0000000,14,1,-2.1369057,1.1454239,2.0743114,-1.4059117
1,0,.13188130,.0000000,14,4,-2.5627084,.70020064,2.1277765,-1.0270010
1,0,.13220842,.38560579E-02,14,3,-2.0558079,1.2080121,1.9942351,-.82461445
1,0,.13223982,.0000000,14,2,-3.1876454,1.2883543,1.7466666,-1.0658043
1,0,.13259582,.0000000,14,4,-3.5170474,1.3150469,1.8908567,-.47731824
1,0,.13291687,.0000000,14,2,-3.6671584,1.1283572,1.8082532,-1.2451008
1,0,.13306860,.0000000,14,1,-4.5474347,1.2681705,1.8457088,-1.6302026
1,0,.13345649,.21048976E-02,14,3,-2.2215222,.80734257,2.2400959,-1.3435576
1,0,.13366801,.0000000,14,2,-2.6358696,.93908605,2.2536301,-1.1388603
1,0,.13405629,.0000000,14,2,-2.6801524,1.1024287,1.9975964,-.60831274
1,0,.13340760,.0000000,14,22,-1.1530333,1.1078802,1.9554982,-1.1948127
1,0,.13345379,.0000000,14,1,-2.6645672,.63539714,2.2770705,-1.1224296
1,0,.13391277,.0000000,14,1,-2.5636658,1.2272360,2.0648015,-.82098725
1,0,.13444867,.0000000,14,2,-2.5471783,1.0291534,2.1965853,-1.2194356
1,0,.13490639,.0000000,14,1,-1.5755102,.84871005,2.2007652,-1.2638362
1,0,.13518004,.61162983E-02,14,9,-2.0358659,.90093340,2.0528666,-.81296849
1,0,.13492447,.0000000,14,13,-1.1180150,.92550509,2.1015943,-1.3891862
1,0,.13488017,.0000000,14,2,-2.8053040,.87897720,1.9569848,-1.0359356
1,0,.13516771,.0000000,14,4,-1.8299487,.80771010,2.2382719,-1.1372426
1,0,.13560952,.40165296E-02,14,6,-1.3954409,.94633086,2.0330598,-1.0249919
1,0,.13580452,.0000000,14,2,-1.8310579,1.0990196,2.1102431,-.96915224
1,0,.13574815,.0000000,14,6,-3.2834141,.81726830,2.0360156,-.56986195
1,0,.13591150,.0000000,14,3,-3.7089011,.61759246,2.1003130,-.74799807
1,0,.13613624,.0000000,14,4,-3.7357623,.55627865,2.1621307,-.74805730
1,0,.13635535,.0000000,14,3,-3.9375651,.46155325,2.2854805,-.63498327
1,0,.13667089,.43625468E-02,14,4,-4.4815052,.76191744,2.2774496,-.27766301
1,0,.13672433,.0000000,14,3,-5.2253210,.61473638,2.5583847,-.43472499
1,0,.13700985,.0000000,14,1,-5.5909307,.30110595,2.5191568,-.21411307
1,0,.13732076,.0000000,14,2,-5.8270061,.22032326,2.6046907,-.24256680
1,0,.13743946,.0000000,14,1,-6.8232436,.10083936,2.7724663,-.51728134
1,0,.13784234,.11711066E-01,14,4,-6.2410628,.33334421,2.7033721,-.58702609
1,0,.13815761,.0000000,14,4,-5.6504242,.55195226,2.5991790,-.30132456
1,0,.13852845,.0000000,14,2,-5.0588625,.49013408,2.5186574,-.32747258
1,0,.13851957,.93935143E-02,14,10,-3.8098680,.65479492,2.4320397,-.69548485
1,0,.13901342,.0000000,14,4,-2.4439912,.81702497,2.2285149,-.74272028
1,0,.13922255,.0000000,14,5,-2.2431427,.75259745,2.1701301,-1.3585685
1,0,.13960625,.0000000,14,3,-2.4995447,.81915590,2.0217981,-.94730880
1,0,.13982776,.0000000,14,1,-3.0446982,1.0180557,2.1917384,-1.4033862
1,0,.13966925,.42119932E-02,14,7,-3.4587803,.84019974,1.9974391,-1.3260316
1,0,.13992954,.0000000,14,10,-3.2184332,.62339878,2.1421667,-.86244219
1,0,.14035851,.0000000,14,1,-2.4536366,1.1990135,2.0745097,-1.2620710
1,0,.14079224,.0000000,14,7,-1.7609815,1.2050121,1.8738820,-1.0508547
1,0,.14052491,.38504838E-02,14,15,-1.9111694,1.2088112,1.8619389,-1.2180734
1,0,.13998243,.0000000,14,10,-3.6596066,1.5295170,1.8718670,-.74667711
1,0,.13975018,.0000000,14,15,-2.7039810,1.0195725,2.2152252,-.81305314
1,0,.14004455,.0000000,14,5,-2.5566468,1.0081033,2.1800846,-.73077572
1,0,.14006110,.0000000,14,3,-4.3902549,1.2873916,1.6968535,-.41966594
1,0,.13992296,.45059542E-02,14,5,-6.0536422,1.5988456,1.4286254,-.26330396
1,0,.14025073,.0000000,14,1,-6.2556311,1.5782770,1.9545738,-1.0560044
1,0,.14039499,.0000000,14,5,-5.6947063,1.7076196,1.7169764,-1.0549742
1,0,.14080985,.0000000,14,1,-4.5797301,1.5343875,1.9031187,-1.0733667
1,0,.14023436,.29754729E-02,14,22,-2.3616197,1.2802762,1.8042246,-1.0269520
1,0,.14025494,.0000000,14,7,-4.2923816,1.5552014,1.8753551,-1.0066248
1,0,.14075180,.0000000,14,5,-2.9870822,1.4063973,1.8887789,-.70937679
1,0,.14096859,.0000000,14,1,-3.5020199,1.2117937,2.1583057,-.91077998
1,0,.14101837,.0000000,14,4,-3.9040663,.90699498,2.3503732,-.93399040
1,0,.14142508,.46371654E-02,14,1,-3.6615040,1.0663212,1.7937446,-.71349464
1,0,.14104117,.0000000,14,14,-2.8319358,.91300398,1.9300869,-.96543685
1,0,.14143899,.0000000,14,3,-2.3788257,.82336134,2.0349041,-1.1707761
1,0,.14163649,.0000000,14,1,-2.9548700,.76548917,2.0823928,-.66793399
1,0,.14197324,.0000000,14,2,-2.1438615,1.0062712,2.0263287,-.73663905
1,0,.14211252,.0000000,14,1,-2.9669832,1.1192915,1.8097190,-.93475131
1,0,.14229676,.37895169E-02,14,4,-3.1101572,.83978367,2.0417273,-.58559206
1,0,.14269793,.0000000,14,1,-2.8592893,1.1762059,2.1064589,-.70626869
1,0,.14298487,.0000000,14,2,-2.9665913,1.2839531,1.9080782,-.59711135
1,0,.14294982,.0000000,14,1,-5.6558826,1.7924187,1.8195783,-.38877805
1,0,.14313069,.0000000,14,4,-6.1741839,1.8930575,1.7714144,-.50659001
1,0,.14347366,.53928159E-02,14,3,-5.4438750,1.8050340,1.4901260,-.52100995
1,0,.14378102,.0000000,14,2,-5.7038059,1.6031411,1.4475836,-.48551072
1,0,.14414387,.0000000,14,1,-5.7825721,1.7908858,1.6484013,-.17282124
1,0,.14448915,.0000000,14,1,-5.9022700,1.1786779,1.5757150,-.36236180
1,0,.14484571,.0000000,14,1,-5.9942085,.33502268,2.1424033,-.52833277
1,0,.14524271,.0000000,14,1,-3.8647195,.57810662,2.2957259,-.47535930
1,0,.14542129,.65467063E-02,14,6,-6.6021863,.61670402,2.0722280,.88090649E-01
