SampleLogFunc,intercept,slope,logSigma
-2.7861501,1.2625652,1.7886854,-1.1670031
-1.3124067,1.0868266,2.0246489,-.98761606
-1.1319497,1.1468870,1.9928545,-1.3197617
-4.8502112,1.1738452,1.6578793,-.56812053
-1.2111052,.89769625,2.1496830,-1.1366367
-1.0239990,1.0871024,2.0181013,-1.1283902
-1.1164196,.96319308,2.0691509,-1.0738048
-1.7330993,.78196956,2.2197548,-1.1055311
-1.0096349,1.1224919,2.0004788,-1.2265011
-1.9959033,.87326983,2.0559760,-1.4113483
-1.5313711,1.1995944,1.9094438,-1.0498192
-2.8030280,1.1476302,1.9263421,-1.6263023
-5.2432353,1.7590018,1.5229466,-.43803306
-1.5042222,1.1640281,1.9455093,-.97672530
-3.2709160,1.2670020,2.0568974,-.61818666
-2.6957574,1.0375567,2.0475089,-1.7417623
-2.8750152,1.0141525,2.1319984,-1.6336239
-1.8005535,1.2503100,1.8924466,-1.3061617
-2.8550985,1.2475877,2.0529597,-1.2702736
-1.0301632,.92903592,2.0820370,-1.3074654
-1.8220454,1.1713865,2.0065385,-.87005285
-2.3198945,1.0417344,1.8903942,-1.1085136
-4.6211456,.49403054,2.4588493,-.39024463
-4.8355463,.39721390,2.3184308,-1.0040818
-1.5115210,.90463982,2.1862147,-1.2735550
-3.1257934,1.3362206,1.9020147,-1.4387780
-1.2288832,1.1289668,1.9515096,-1.1099043
-1.2018977,1.0325967,2.0873184,-1.4196809
-1.0888206,.92205409,2.1273431,-1.1623168
-1.8511778,.94718148,2.1133917,-1.5916415
-2.6257606,.73667261,2.1202573,-.77182213
-3.9176331,.79432950,2.1022685,-1.6023856
-.94665947,.96243648,2.0986171,-1.2183963
-.94665947,.96243648,2.0986171,-1.2183963
-3.0625742,.91076135,2.3013549,-.95415440
-1.8080295,1.0329054,2.1504982,-.98244805
-3.1963627,1.1169485,2.2018527,-.92438127
-3.9866897,1.4665447,1.6385800,-.81863747
-2.7359853,1.4362723,1.8216213,-.90619354
-4.2897119,1.6680776,1.6747648,-.63659430
-5.4028026,.89996506,2.4576799,-.36954967
-3.0783067,1.0081255,1.8866015,-.67844666
-2.7269908,.88668095,1.9557216,-.90936502
-2.2368794,.77999595,2.2694047,-.91480314
-3.7280781,1.5436116,1.6977419,-.94851700
-1.5248372,1.1562279,1.9237664,-1.3668635
-2.5121576,.75543562,2.2698934,-.78596196
-2.6722175,.81572729,2.3085422,-.92210781
-1.3723031,1.2140714,1.9492315,-1.2288747
-1.9676404,.92933106,1.9810178,-1.0123479
-1.7611450,1.0393742,2.1092417,-.88337303
-1.0296704,1.1200715,2.0157177,-1.2169463
-7.0057826,.97537465,2.2809193,-1.5172611
-2.1592116,1.1950234,2.0771267,-1.0695608
-1.4386848,1.1350292,1.9379740,-1.3832841
-1.8534029,1.1839925,1.8906758,-1.3509844
-2.3967070,.84816479,2.0886896,-1.5170973
-2.2999793,1.2065833,2.0781470,-.99686012
-1.8469840,1.1167627,1.9034923,-.94633549
-2.1000386,1.0772401,1.9484675,-.78607693
-2.5780654,1.1704468,2.1247160,-1.0484846
-2.9792952,1.3251578,1.8503683,-1.4193827
-1.5815534,1.0801707,1.9242211,-1.0934036
-1.0776436,.92337026,2.0927631,-1.3538732
-1.3688167,1.0429724,2.0440695,-.95444365
-1.7886832,1.2472932,1.8876048,-.98254055
-2.0112039,.84805918,2.1998795,-.84714466
-1.5508089,1.1358817,1.9071596,-1.2311394
-3.3583550,1.2330864,1.7757207,-1.2126484
-2.9451050,1.2359178,2.0176901,-1.4703275
-1.5191717,.86765955,2.1066361,-1.4109139
-.96434194,1.0497664,2.0612285,-1.1819240
-2.3575219,1.3684868,1.8246814,-1.0694662
-3.1157223,1.2987176,1.9905917,-1.3770524
-3.1891851,1.2478773,2.0841782,-.67527552
-4.2190508,.49692226,2.3962943,-1.1063910
-4.7545443,.46059179,2.5234082,-.45924382
-1.6073050,.86089795,2.0619321,-1.1875238
-2.1155220,1.1296882,2.1217157,-1.0982102
-.98942598,.93836905,2.1116027,-1.2796065
-1.1346446,1.0015771,2.0397649,-1.0574019
-2.8682987,1.1648064,2.1309629,-.75571536
-3.9487571,.44058453,2.3879621,-.89863048
-1.5419769,.97212456,2.1691807,-1.2166015
-2.7635947,.72866290,2.0863499,-.84190290
-4.3976432,.75785330,1.9488411,-.49849298
-1.7006182,1.0482825,2.1355270,-1.0123419
-3.4761490,1.1076840,2.0519128,-.44360448
-2.6930767,1.2735482,2.0160934,-1.2908660
-1.6515402,.98738279,2.1720065,-1.1632583
-2.0683256,.99605610,1.9962443,-.78597991
-1.5617329,.88023080,2.2018041,-1.1236364
-4.2043966,1.3228477,1.6481372,-.69335289
-2.1349251,.83923127,2.0998843,-.80091430
-2.5865305,1.3943021,1.7943380,-.98891363
-1.4192145,1.0611699,1.9545592,-1.3358565
-1.0693215,.92716072,2.0901754,-1.3564301
-2.6449760,.98780347,2.2393771,-.95678474
-2.2128476,1.0985692,2.1493020,-1.0597380
-3.5472971,1.5237558,1.8597442,-.75519925
-3.8650367,.50592762,2.4277746,-.64838286
-2.9665831,1.0052477,1.8776839,-.77090865
-1.7967011,.84814319,2.0735860,-1.3199785
-1.7629450,1.1944280,1.9095772,-.92591792
-3.4456699,1.2701822,2.0537054,-.56319170
-5.1232456,.45202507,2.1516309,-.37409705
-2.2931557,.88282775,1.9882102,-1.0900538
-1.4727233,.84322906,2.1223927,-1.3362280
-3.5219012,1.3092032,2.0833700,-.72902939
-6.8509749,.94986163,1.6282085,-.10819539
-2.7582002,.72074059,2.2456437,-1.3850758
-3.3681585,1.4889295,1.7170984,-.94341581
-3.2813279,1.0340007,2.1645406,-.52995292
-1.5770599,.80909652,2.1270136,-1.1060959
-1.7821014,1.2777730,1.9158807,-1.0166379
-2.3029409,.81444664,2.0511917,-1.2033450
-1.2076100,1.0300252,2.0920148,-1.0655663
-2.2310097,.79790770,2.2786926,-1.0347755
-2.9513465,.74823096,2.0455110,-.98225991
-6.3857783,1.6363987,2.0286626,-.67158844
-1.0914067,.96602551,2.1131043,-1.1206364
-2.0959218,.96257860,2.2142849,-1.0182257
-1.5885447,.94277234,2.0724208,-.89984443
-2.9727563,.78065772,2.0225377,-.80913562
-2.1896978,.86801111,2.2242904,-1.3690215
-6.9713368,1.7497431,1.9468925,-.71450425
-3.1728753,.79276935,2.1541325,-.53458382
-2.2649946,.99529107,2.2052491,-1.1735898
-2.4317344,.68160824,2.2106869,-.86069562
-2.0786620,1.2766452,1.9593491,-.89373614
-2.0263476,1.3203656,1.8698903,-1.1706357
-2.4379356,1.1884636,2.0772235,-.80961829
-1.4534510,.88024426,2.1825546,-1.2944774
-3.7591301,1.1643600,2.0280673,-.39358874
-1.3293545,.96560804,2.1498434,-1.2948497
-2.1166112,.97403090,1.9555982,-1.2915173
-1.7065482,1.0757700,1.9293250,-1.3339877
-1.8958047,1.0050366,2.1436940,-.86837499
-3.7707629,.66762605,2.4221915,-.67055228
-4.6237316,.73857852,2.3225906,-.26897260
-1.9465419,.95505620,2.1980857,-.95585427
-2.6637508,1.1533583,2.1418231,-1.0472721
-3.6145978,.92226064,2.1720293,-.42394572
-3.4546117,1.1310856,1.7731024,-.80817621
-2.0060660,1.1085965,1.9442740,-.80608621
-1.1107904,.91073807,2.1027733,-1.3479068
-1.5440402,1.0796365,1.9298673,-1.0731299
-3.4983315,.56888611,2.3099966,-.59884433
-5.3127358,1.0500498,2.3117935,-.22282845
-4.8100276,.56445412,2.0731962,-.87058108
-1.6306834,.81727581,2.1854499,-1.3242252
-4.7781784,.92108754,2.3301328,-1.2178374
-2.9486073,1.1575451,1.7948390,-.93536851
-1.9598805,1.3069970,1.9132422,-1.2066651
-5.6100282,1.7761677,1.5516315,-.24300296
-5.1208344,1.6613087,1.9034064,-.48681397
-1.3360074,.99453622,2.0521450,-1.5238448
-1.2923525,1.1456716,1.9492325,-1.0728172
-4.2278303,.98329138,2.2406785,-1.4218714
-1.9659228,1.2505730,1.9831886,-.92350475
-1.4244156,1.0039424,2.1460069,-1.1743089
-1.7651665,.77477397,2.1439137,-1.0753906
-1.7242196,.90232784,2.0276260,-.99585923
-1.3943319,1.1723376,1.9839206,-1.3929575
-1.7877215,1.2518591,1.9776889,-1.0230375
-3.4666918,1.1161645,1.9696588,-1.7666934
-1.1956771,1.0796514,2.0774097,-1.2860630
-2.1854588,.93448953,1.9921894,-.82750831
-2.5780712,.76124288,2.1371000,-.72375882
-1.8959568,1.1888453,1.8826541,-1.3291312
-4.3722366,.47991107,2.3326724,-1.1488272
-2.0213094,.89572384,2.1791286,-1.4879947
-1.2065985,.95580286,2.1048416,-1.0400532
-3.9565605,.59446347,2.3736318,-.47995222
-2.4912817,1.0234982,2.1234695,-.67799633
-1.4023699,.89176685,2.0559243,-1.1501753
-7.4023248,2.0367940,1.2184818,-.45820898E-01
-1.8974822,1.1350128,2.0986100,-1.0169355
-1.5522465,1.0214160,1.9537304,-1.2066482
-1.0268457,1.0037234,2.0289994,-1.1365039
-4.8733392,.98296612,2.2399514,-.21407377
-2.6170306,.63601977,2.2971340,-1.0186262
-4.4758850,.45510192,2.5033790,-.81084772
-5.4410832,.60371897,2.2678999,-.10173767
-2.3298220,1.0224372,2.0409483,-.68399886
-4.0241845,.81874631,2.3350113,-.44370004
-3.0438642,.58108565,2.3049805,-1.0737282
-2.4053053,1.0988484,2.1376748,-1.3042422
-2.0967522,.75033851,2.2246459,-.89482285
-2.0540119,1.2966929,1.9575308,-1.1893441
-1.7757647,1.0159823,2.0528075,-.82657371
-4.3388094,1.1346189,2.1848066,-1.2979832
-1.5290849,1.1455247,1.9131503,-1.2981172
-5.4083641,.87819793,1.9839501,-.96077411E-01
-3.4732453,1.2003063,1.7806842,-.59468417
-3.6199263,.91484290,2.1765012,-1.6967347
-2.1509277,.86101637,2.0195741,-.95733236
-3.3359864,1.0741758,1.8253667,-1.1151013
-2.2940111,1.1848004,1.8857617,-1.4453944
-1.8654932,.80792598,2.2234593,-.96235406
-1.9340868,1.0536163,2.1570390,-1.0637751
-3.2533473,.63084265,2.3809812,-.98422369
-2.8997581,.85402700,2.1721538,-.58172386
-3.5335763,.58994914,2.3206483,-1.2266280
-3.0003975,.68763823,2.1111870,-.77344473
-1.2116705,.90617628,2.1091087,-1.3965891
-2.7328996,1.3590272,1.7821464,-1.1382890
-1.6494701,1.0617187,1.9308671,-1.0409786
-2.9117026,1.2545248,1.7728245,-.80961873
-2.3469727,1.2432016,2.0484450,-1.1195622
-1.1770679,1.0666381,2.0310147,-1.0345120
-1.6752892,1.1697945,2.0467232,-1.0171219
-2.6412162,.69596970,2.1419899,-.83209267
-2.7297540,1.3640826,1.9623081,-.87400942
-3.0713246,.76449109,2.0442874,-.71642147
-2.1575286,.73431205,2.2565116,-.94200793
-1.2614355,1.0733337,1.9535868,-1.2287853
-1.2184758,.92780379,2.1364242,-1.0843211
-3.4203035,1.5189392,1.7202157,-.87894073
-4.4183856,1.1455235,2.1260168,-.29786676
-4.2886656,1.4228125,2.0405739,-.89896071
-3.2349908,1.2459573,2.0988886,-.70220356
-2.0807500,.74486530,2.1945867,-1.3022202
-3.4976740,.68217674,2.0766973,-1.0564953
-1.4649533,.90735528,2.1277707,-1.4760629
-1.5697126,1.0884975,1.9196990,-1.1527014
-2.1520040,.81586546,2.0595869,-1.1995375
-4.6004480,1.2417137,2.0140296,-.24220831
-3.2717840,1.0493882,2.2025996,-1.2949247
-3.3594259,1.0008422,2.0791499,-1.7992805
-4.5810252,.48942554,2.1660545,-.48211493
-4.7432088,.37448726,2.5199617,-.50654243
-5.0802774,.81222840,2.2378777,-.14393419
-2.4311018,.99159323,2.0700991,-1.7091092
-4.5813504,.81683086,2.4244922,-.90748265
-1.0063110,.96616713,2.1009548,-1.1547188
-4.0620349,.81697255,2.4052573,-.82498863
-1.9537028,1.1186420,2.0372785,-1.5667650
-2.1104063,1.0561748,1.9043929,-1.2343925
-4.8262852,1.4893599,1.6441896,-.31733548
-2.3231604,1.2198622,1.9159973,-1.5171486
-2.6106416,1.4183849,1.8569799,-.99490076
-2.5760372,1.2871679,1.9388295,-.71256764
-2.8931915,1.2916549,1.9418379,-.62800933
-3.1704389,1.4188999,1.8590371,-1.2583675
-9.2108570,2.4273943,.90900399,.28360213
-7.6452001,1.8816330,1.2105439,-.40796639
-4.3028285,1.3375778,2.0063722,-.35423479
