ProcessID,DelayedRejectionStage,MeanAcceptanceRate,AdaptationMeasure,BurninLocation,SampleWeight,SampleLogFunc,intercept,slope,logSigma
1,0,.80643575E-01,.0000000,7,2,-6.0219765,1.5916815,1.8942809,-.55870825E-01
1,0,.81031603E-01,.0000000,7,2,-6.5357826,1.6519004,1.7143676,.69258309E-01
1,0,.81458498E-01,.25105357E-01,7,1,-7.0665001,1.3575273,1.6986711,.19635643
1,0,.81955395E-01,.0000000,7,5,-3.0038728,1.1911870,1.7783209,-.90329799
1,0,.82176056E-01,.0000000,7,9,-3.1372585,.78830230,2.0169456,-.71416213
1,0,.82158546E-01,.0000000,7,19,-3.0467508,.73065514,2.1566184,-.60657884
1,0,.82677319E-01,.10437600E-01,7,5,-3.0532115,.95658163,2.2493344,-.67619897
1,0,.83303910E-01,.0000000,7,4,-2.3280864,.91742283,2.1833433,-.73992054
1,0,.82986620E-01,.0000000,7,17,-2.2512528,1.1288197,1.8981037,-.79038385
1,0,.83121482E-01,.74008606E-02,7,1,-3.6323798,1.2785217,2.1169308,-.91918655
1,0,.83419814E-01,.0000000,7,2,-4.2501261,.61137826,2.4198404,-1.1268224
1,0,.83981413E-01,.0000000,7,1,-4.4909503,.70054560,2.4049454,-1.1812383
1,0,.84165690E-01,.0000000,7,17,-1.9878538,1.0910018,2.0993050,-.84928688
1,0,.84408971E-01,.0000000,7,1,-2.9220827,1.1585099,1.8086229,-1.1287654
1,0,.84509834E-01,.64268690E-02,7,10,-4.5813831,.93685110,1.8030948,-.76938210
1,0,.85036735E-01,.0000000,7,11,-3.6329985,1.4046164,2.0090806,-.92778034
1,0,.85679094E-01,.0000000,7,2,-3.0668677,1.4862062,1.7802607,-.89668110
1,0,.86328766E-01,.0000000,7,2,-1.9995477,1.0342758,1.9822844,-.79745930
1,0,.86325099E-01,.62665742E-02,7,15,-2.1793771,.75641027,2.2525725,-.89655601
1,0,.86458441E-01,.0000000,7,4,-3.8207873,.47230098,2.2712926,-.71117118
1,0,.86562277E-01,.0000000,7,11,-2.5608744,.81457455,2.2989754,-.91768821
1,0,.86646576E-01,.0000000,7,1,-4.1790581,1.2508649,2.1800569,-.77068511
1,0,.86653187E-01,.73268844E-02,7,14,-1.7062410,.92673966,2.1784271,-1.3784305
1,0,.86742714E-01,.0000000,7,10,-2.6558962,1.0697848,1.8526873,-.96400788
1,0,.86768195E-01,.0000000,7,2,-4.2338185,.80665853,2.4199540,-.62118555
1,0,.86831028E-01,.66408782E-02,7,8,-4.7480479,.35242245,2.5253782,-.56538999
1,0,.87203086E-01,.0000000,7,6,-5.1476430,.36930353,2.5631110,-.39194675
1,0,.87213948E-01,.0000000,7,12,-5.3261442,.29617988,2.5099747,-.29934456
1,0,.87339681E-01,.20947875E-01,7,4,-9.0872623,-.21061071,2.4007144,.39941866
1,0,.87872905E-01,.0000000,7,3,-8.3285324,-.38543220,2.8737328,.15051495
1,0,.87858342E-01,.0000000,7,3,-10.433895,-1.0357271,3.0662990,.84698540E-01
1,0,.88461521E-01,.0000000,7,2,-9.0746868,-.38409424,3.2082454,.11704639
1,0,.88440256E-01,.39165803E-01,7,4,-10.392870,.11102487E-01,3.1894031,.63982453
1,0,.89094173E-01,.0000000,7,1,-10.157731,.71408024,3.0824592,.26120690
1,0,.89668862E-01,.0000000,7,2,-10.221061,.70706201,2.9352853,.60167331
1,0,.89793446E-01,.0000000,7,2,-11.433459,.54622239,2.8429205,.92459065
1,0,.90444058E-01,.0000000,7,1,-9.2539903,.74412065,2.5642996,.55876682
1,0,.91093741E-01,.0000000,7,1,-7.4243833,.60183404,2.6816444,.12139705
1,0,.91613440E-01,.0000000,7,3,-5.0993135,.92610778,2.4289406,-.46148485
1,0,.91947596E-01,.29764847E-01,7,8,-4.8897125,.70365503,2.1479873,-.19984981
1,0,.92531646E-01,.0000000,7,7,-4.1925675,.55528951,2.1325589,-.56242818
1,0,.93171158E-01,.0000000,7,1,-2.8018132,1.1402196,2.0002542,-.58755912
1,0,.93114540E-01,.51644980E-02,7,18,-2.2682109,1.0796957,1.9873497,-.70879304
1,0,.94054428E-01,.0000000,7,8,-2.0661022,.79910394,2.1110819,-1.3462049
1,0,.93103862E-01,.0000000,7,32,-3.1964126,.80733785,2.1977846,-.52739567
1,0,.93772611E-01,.0000000,7,5,-2.9825092,1.2939694,2.0592064,-.88811910
1,0,.94018874E-01,.12139506E-01,7,7,-2.5446238,1.1486295,1.8913204,-.70218445
1,0,.94310438E-01,.0000000,7,6,-2.0802930,1.2590732,2.0133207,-1.0715095
1,0,.93840454E-01,.0000000,7,21,-1.8305283,1.1515373,2.0719774,-1.2931899
1,0,.93783474E-01,.0000000,7,3,-3.4670648,.71332090,2.2569724,-1.4727356
1,0,.94317357E-01,.69665954E-02,7,8,-2.4038165,.65556065,2.2406316,-1.0035145
1,0,.94519957E-01,.0000000,7,11,-1.9948153,.93050465,2.1411286,-.79519386
1,0,.95250018E-01,.0000000,7,7,-1.7291391,1.1336839,2.0677160,-.95127818
1,0,.95169823E-01,.58086231E-02,7,4,-3.2135249,1.2619736,2.1008848,-.96029985
1,0,.94933651E-01,.0000000,7,5,-7.1436347,.60073424,2.0686151,-1.2853079
1,0,.95394021E-01,.0000000,7,3,-2.1384520,.94987466,1.9920359,-.81973361
1,0,.95340117E-01,.30523860E-02,7,3,-5.2769358,.51003208,2.0732396,-.76630431
1,0,.95691179E-01,.0000000,7,5,-2.3442784,1.0609814,2.1721892,-.89456321
1,0,.95687102E-01,.0000000,7,2,-6.7359556,1.7379288,1.3279893,-.47793980
1,0,.95714451E-01,.0000000,7,10,-2.4916547,1.0481928,1.9110537,-1.3737253
1,0,.96292912E-01,.0000000,7,4,-2.3577126,1.2325762,1.9248673,-1.5160784
1,0,.96626507E-01,.52848766E-02,7,5,-1.5977302,1.0780616,2.0853876,-.94505039
1,0,.96618997E-01,.0000000,7,4,-4.4583926,.80380907,2.1443964,-.25754006
1,0,.97170181E-01,.0000000,7,9,-4.4610938,.34197315,2.4037137,-.70922737
1,0,.96306147E-01,.77499164E-02,7,26,-4.1671636,.83064794,2.0330658,-1.5292674
1,0,.96306455E-01,.0000000,7,19,-2.0692579,.94477608,2.1629807,-1.5097078
1,0,.96123798E-01,.0000000,7,18,-2.1584068,1.0401698,2.1423708,-1.4214624
1,0,.96100668E-01,.19082361E-01,7,9,-2.3593634,.82387460,2.2150671,-1.4590055
1,0,.95957048E-01,.0000000,7,36,-1.8514151,1.0116460,2.1161884,-.84160933
