SampleLogFunc,intercept,slope,logSigma
-7.4254301,-.11452188,2.7430149,.46457278E-01
-7.6760273,-.18265647,2.7506605,-.46633836
-3.8503359,1.2618588,1.8490893,-.40180094
-1.5816153,1.0454149,2.0913901,-.92232222
-2.9389315,.80396977,2.3062283,-.72343179
-3.0526260,.66750372,2.3330120,-1.1748470
-2.9215351,1.1173868,1.8879568,-.61722254
-1.9395856,1.2119981,1.9796191,-.85626260
-1.9379473,.99791407,1.9457214,-1.2484248
-1.7240667,1.2155388,1.9635281,-1.4056548
-4.0220569,1.4852369,1.7667730,-.45062213
-1.4463716,1.1437437,2.0538839,-1.1109048
-6.3059987,1.9724206,1.6292854,-.58318888
-3.5312635,1.0354535,1.8408463,-1.1434543
-2.4817338,1.3974944,1.8471201,-1.0747266
-1.9841666,.98153967,2.1447880,-.82102230
-1.9841666,.98153967,2.1447880,-.82102230
-2.0640420,.92784341,2.2200163,-.95048362
-.94178878,.99134884,2.0724245,-1.3742756
-1.4864511,1.0553820,1.9477321,-1.0642175
-3.7371071,1.4495083,1.9761258,-.71063047
-4.5386498,.42424191,2.4727040,-.92160441
-6.3247710,1.4762670,2.1863115,-.50730341
-3.0179353,.83213792,2.3284971,-.86961978
-5.3043374,1.4800558,1.6362850,-.19914877
-1.5982821,.92335022,2.0247266,-1.3312956
-8.1753469,.65961577,1.6882826,-.34887868
-2.0859708,1.0544599,1.9603841,-.78726166
-2.8196440,1.3655112,1.7933624,-1.2116264
-1.8392979,.84085105,2.1044597,-1.4171967
-4.2851797,1.1966672,1.7227513,-1.0513066
-1.3145942,1.1891333,1.9803733,-1.2838904
-2.2938717,1.2421788,1.8173666,-1.0945731
-2.2938717,1.2421788,1.8173666,-1.0945731
-2.9172274,.96804852,2.0170122,-1.6745475
-2.8398414,1.0346472,1.8616028,-.86156550
-3.1219839,1.1507297,1.9948370,-.51802982
-3.6273163,.94259633,1.8987863,-1.2011141
-4.4271247,.66671432,2.0790398,-1.2133082
-1.3145871,1.1402504,1.9464720,-1.0651812
-3.0592996,.57918465,2.2773030,-1.0815403
-1.2442450,1.1001085,2.0018768,-1.0216068
-1.2442450,1.1001085,2.0018768,-1.0216068
-1.2442450,1.1001085,2.0018768,-1.0216068
-1.2442450,1.1001085,2.0018768,-1.0216068
-2.2620710,1.1288022,1.9633056,-.71941564
-.92305525,1.0794693,2.0149614,-1.3170866
-.92305525,1.0794693,2.0149614,-1.3170866
-3.2301930,1.1197354,1.9504125,-1.7153823
-3.1631374,1.1169164,1.8572061,-1.3845162
-3.5246975,1.1787651,1.7703480,-.63067903
-2.6370810,1.0163972,2.1546330,-1.5140696
-3.5984335,.70084437,2.1857997,-1.4755249
-5.3042752,.63791667,2.3351553,-1.4822615
-3.0010951,.75196528,2.0710852,-1.2284966
-2.0221264,1.3232267,1.8615526,-1.0607545
-3.3240174,.52704410,2.3470499,-.80339444
-4.5788183,.52412119,2.2487822,-1.2265474
-2.6308608,.97803754,2.0937893,-.61725850
-3.9447442,1.1810436,1.7544138,-.51951649
-3.3579907,1.3459740,1.9989783,-.61914770
-2.0889669,.83551378,2.0422345,-.99874377
-1.8186789,.99149885,2.0232071,-.83373146
-2.1456580,1.0402809,2.1719728,-.93703549
-2.8121211,1.1482866,2.1564266,-.91015532
-6.2221986,1.6636502,1.3900100,-.50728276
-2.8439461,1.4394434,1.7997449,-.83974600
-1.8267001,.95539600,1.9996989,-1.4018744
-5.3787299,.70595209,2.2172789,-.92901078E-01
-4.1419604,1.1362656,1.7937425,-1.2689247
-1.5673497,1.1065691,1.9441074,-1.4286331
-5.4300678,1.1760114,2.1473468,-1.4582560
-1.2553976,1.0921614,2.0037893,-1.0130169
-1.5082601,1.1687554,2.0095746,-1.3944684
-3.0852637,.64457670,2.2538387,-.64954439
-2.2315824,.80543778,2.2316088,-.81857944
-1.5705839,1.1795949,2.0133707,-.99584580
-1.2997585,1.0938638,1.9423947,-1.1721883
-3.2353865,.64587495,2.3853998,-.89559632
-2.6174023,1.0493352,1.8652957,-.99755231
-1.3864745,.90515563,2.0956259,-.99419860
-4.3932070,.50597644,2.2567140,-.40049841
-2.1262324,1.2755577,1.8634832,-1.3113796
-1.1929349,.97573579,2.1367989,-1.2050846
-3.9083171,.69309177,2.3663227,-.48002605
-3.2363883,1.2148613,2.0535533,-.55760086
-5.5496778,1.5476547,2.0057855,-.24136983
-3.9945862,1.4507411,1.8787366,-.44303203
-.98578676,1.0768732,1.9908792,-1.2092593
-1.3122920,1.1049310,1.9374441,-1.1704822
-2.8221311,1.1246053,1.8178513,-1.0014657
-6.2030428,1.8713202,1.5370937,-.11586390
-1.2934291,1.0443322,2.1118243,-1.1654810
-5.1309031,1.4046053,1.6820950,-.20984504
-5.2985232,1.5258100,1.8809338,-.17695518
-1.3716509,1.0332127,1.9616293,-1.2057991
-1.4562530,.89320918,2.1878548,-1.2241145
-1.2017868,1.0111659,2.0378221,-1.0228676
-2.2595104,.99329546,2.2007416,-.89399093
-2.1377764,.78516959,2.0817953,-1.1061006
-3.3673821,.66293091,2.0896849,-.78268197
-1.8767583,.94161144,2.2035628,-1.2253019
-3.4765916,1.0417530,1.9886785,-.44029369
-2.7128866,1.2619705,2.0482832,-.80050111
-3.4887488,1.1330304,1.9065937,-.46021267
-4.7070069,1.6309306,1.8815619,-.74850890
-4.2676916,1.6386541,1.7285371,-.54099717
-4.3721523,.68342269,2.0224491,-.46127272
-2.5595749,.74345557,2.0822727,-1.0217287
-2.0065828,.88979072,2.2290141,-1.2346774
-1.6872993,1.1152886,2.0224551,-.87451507
-2.9540199,.61685628,2.3484056,-.95422060
-2.0351054,1.2077225,2.0530104,-1.0001298
-2.8771736,.65708974,2.3148471,-.76158224
-1.1032206,1.0328402,2.0992448,-1.2167075
-3.8184097,.61799156,2.4198461,-1.0129269
-1.3852059,1.2127803,1.9607505,-1.2423678
-1.8513981,1.2446118,1.8855918,-.94964992
-1.7304859,1.1172477,1.9351818,-1.4505320
-1.7304859,1.1172477,1.9351818,-1.4505320
-1.7304859,1.1172477,1.9351818,-1.4505320
-5.5709869,1.0171844,1.6992989,-.31282122
-2.2576541,1.2861874,1.9999117,-1.1228008
-1.5184369,.97051517,2.0791296,-.90930675
-3.5389142,1.5427472,1.8042618,-.95135746
-4.5827105,.94060548,2.1322531,-1.8500067
-4.9300456,.33844533,2.5049010,-.41639535
-1.7249849,.77988637,2.1576426,-1.0348070
-1.2049778,1.0500084,2.0557869,-1.4760521
-.89489990,1.0701010,2.0228461,-1.2485611
-.89517157,.98446304,2.0666535,-1.3207744
-1.1857281,.95689796,2.1426890,-1.2434198
-3.9662917,1.4833768,1.8495827,-1.2353749
-.97282355,1.0722402,1.9969943,-1.1970325
-1.8742673,1.2771114,1.8632393,-1.1670215
-1.3733168,.86295458,2.1755159,-1.2725899
-2.9933170,.69730424,2.1443845,-.67586556
-5.1432444,1.8153122,1.6109593,-.61782503
-2.2362154,.79386384,2.2798337,-1.0391541
-1.5681055,1.1409027,1.9614723,-.92936220
-5.8589737,1.9263728,1.5501349,-.31464986
-1.3129326,1.0760278,2.0929192,-1.1470950
-4.1503687,1.0120015,2.1894867,-.34301957
-5.8466671,.34410254,2.3127651,-.12198895
-3.7054380,.74878906,2.0147227,-.58940615
-4.7994459,1.3221053,2.0802466,-.28909231
-2.1893575,1.3490412,1.8486493,-1.1001805
-4.8804105,1.4421779,1.6542145,-1.1504826
