ProcessID,DelayedRejectionStage,MeanAcceptanceRate,AdaptationMeasure,BurninLocation,SampleWeight,SampleLogFunc,AverageLogX,AverageLogY,LogStandardDeviationX,LogStandardDeviationY,FirsherTrans(rho),cutoffSlope,cutoffIntercept
1,0,.15804015,.0000000,1,2,-1924.7293,-.44317245E-02,.63105706E-02,-.23195239E-02,-.26778157E-02,.68960325,1.5016552,-.10570910E-02
1,0,.15851516,.0000000,1,1,-1925.3860,-.57263873E-02,.96453597E-02,-.43791490E-02,-.23043200E-02,.68782409,1.5001438,-.18501378E-02
1,0,.15982317,.0000000,1,4,-1925.3893,-.89109655E-02,.12707641E-01,-.69033536E-02,-.46079628E-02,.68192812,1.5015890,-.11244859E-02
1,0,.16168473,.0000000,1,3,-1924.8320,-.11758731E-02,.42180001E-02,-.41264533E-03,-.29708383E-02,.69728899,1.5003668,-.16391413E-02
1,0,.16175673,.0000000,1,8,-1925.0387,-.55310448E-02,.76181990E-02,-.20456721E-02,-.56854710E-02,.69039628,1.5027594,-.12798215E-02
1,0,.16252690,.0000000,1,2,-1925.1208,-.55585258E-02,.85046653E-02,-.43599117E-02,-.76661616E-02,.69085934,1.5022507,-.13549505E-02
1,0,.16325171,.0000000,1,1,-1925.4415,-.83524445E-02,.16499447E-01,-.98701526E-02,-.13225333E-01,.68366988,1.5023236,-.68663967E-03
1,0,.16358905,.0000000,1,3,-1925.7253,-.82782776E-02,.17369198E-01,-.89404432E-02,-.11778159E-01,.68422383,1.5018252,-.11852788E-02
1,0,.16534988,.0000000,1,2,-1925.6899,-.13673901E-02,.13866077E-01,-.58461950E-02,-.10399493E-01,.69699745,1.4987933,-.22167503E-02
1,0,.16569239,.0000000,1,1,-1926.5257,-.98895099E-02,.27382033E-01,-.16233548E-01,-.19222780E-01,.68002292,1.4991607,-.88147624E-03
1,0,.16684682,.11594682,1,2,-1926.6302,-.93382144E-02,.29094726E-01,-.16717632E-01,-.18879140E-01,.67839381,1.4987210,-.80418047E-03
1,0,.16704806,.0000000,1,1,-1927.7540,-.14911771E-01,.35378991E-01,-.20132297E-01,-.21831931E-01,.67306614,1.4996843,-.10207938E-02
1,0,.16758754,.0000000,1,1,-1928.2789,-.19311500E-01,.38042585E-01,-.21495747E-01,-.21924558E-01,.66790187,1.5015881,-.77837931E-03
1,0,.16845886,.0000000,1,1,-1928.4365,-.21409652E-01,.38033058E-01,-.20341012E-01,-.16781152E-01,.66693832,1.5014048,-.10839290E-02
1,0,.16849479,.0000000,1,1,-1930.0620,-.23499233E-01,.48604354E-01,-.28915465E-01,-.24396939E-01,.65818045,1.4997578,-.45801970E-03
1,0,.16910868,.0000000,1,1,-1930.4875,-.24704812E-01,.47504848E-01,-.27080504E-01,-.18338425E-01,.65863949,1.4995506,-.15984819E-02
1,0,.16928558,.0000000,1,4,-1930.6898,-.22726269E-01,.50658145E-01,-.29902673E-01,-.27294580E-01,.65397108,1.4993379,-.30089515E-03
