SampleLogFunc,AverageLogX,AverageLogY,LogStandardDeviationX,LogStandardDeviationY,FirsherTrans(rho),cutoffSlope,cutoffIntercept
-1926.3767,-.76088178E-01,-.34787657E-01,-.37134239E-01,-.12379382E-01,.71244146,1.4974240,-.28061476E-02
-1927.1004,.12855734,-.19228247,-.69194524E-02,.21562910E-01,.53325716,1.4970974,-.33306038E-03
-1929.1086,-.15254013,-.11196098,-.10117741,.44830947E-01,.69614196,1.4915753,-.35958736E-02
-1930.7314,-.13138967,-.53530579E-01,-.69061578E-01,.59968160E-01,.73454255,1.5010720,-.74221122E-02
-1927.3091,-.42429527E-01,.36745141E-01,-.60575526E-01,.17681047E-02,.70101520,1.5016943,-.57854538E-03
-1930.2686,-.83937378E-01,-.13245204E-01,-.50033330E-01,.30650987E-01,.72294659,1.4985966,-.98476888E-02
-1925.5060,-.10763977,-.32418835E-01,-.21256879E-01,.11493612E-01,.73865114,1.4927374,-.24356758E-02
-1925.0719,-.48589431E-01,-.45798715E-01,-.10062909E-01,.10416431E-01,.71488182,1.4940242,-.22899810E-02
-1927.0496,.79144833E-01,-.37289412E-01,.10273553E-01,.82781600E-02,.66419999,1.4883417,-.54938086E-02
-1929.7897,.63265923E-01,-.18432234E-01,.36553531E-01,-.40841466E-01,.69179882,1.4997727,-.28886277E-04
-1928.8024,.19256375,.10072848E-01,.54513756E-01,.16190163E-02,.65207843,1.5040824,-.63034854E-02
-1929.6562,-.24600048,-.11469635E-01,-.65357328E-01,.42533487E-01,.83672739,1.4938461,-.46222490E-02
-1926.6104,-.26963090E-01,.48479702E-01,.18077283E-01,.30390421E-01,.80202764,1.4929032,-.35981786E-02
-1927.5716,-.72761607E-01,.62445003E-01,-.17675607E-01,.33859204E-01,.80355120,1.4905460,-.41953817E-02
-1925.3826,.46972531E-01,.43310339E-01,.12203009E-02,.50358304E-02,.72380310,1.4987441,-.21181261E-02
-1928.2960,.87780547E-01,-.68551748E-01,.75174707E-01,.37634795E-01,.70462778,1.4984535,-.75531802E-03
-1928.1001,-.76266997E-01,-.45060619E-01,.24562087E-01,.34363906E-01,.71271550,1.4999831,-.19108677E-02
-1929.3692,-.18254247,.40492148E-01,-.70085328E-01,.64678017E-02,.81097686,1.5018976,-.56328519E-02
-1928.5182,-.69620719E-01,.37666080E-01,.53494818E-02,-.64498115E-02,.73199862,1.4941911,-.31778654E-02
-1928.2254,-.16599232,-.14019070,-.51108282E-01,.56528914E-01,.69716889,1.5003335,-.13225747E-02
-1927.4928,.63637391E-02,-.43411292E-01,-.12968355E-01,.17709197E-01,.64278858,1.4949642,-.51744289E-02
-1925.5361,-.61726117E-02,-.57558443E-01,.26940275E-01,.52202112E-01,.70738051,1.4962969,-.14655708E-02
-1926.4209,.20698889E-01,-.58669612E-01,.12528241E-01,.67715103E-01,.65201299,1.4971752,-.34058011E-03
-1924.9896,-.64647515E-01,-.25427406E-01,-.37696813E-01,.35604600E-01,.72049314,1.4972998,-.24011563E-02
-1924.9305,.81304496E-02,-.35711006E-01,-.10697436E-01,.92339873E-02,.65710621,1.5018861,-.19250673E-02
-1927.4024,-.57601546E-01,-.14389710,-.22823028E-01,.22631957E-01,.61789115,1.5019367,-.79896399E-03
-1926.6221,.12440919,-.67905685E-01,.39661619E-01,.58135752E-01,.61085638,1.5002846,-.65335325E-03
-1927.7570,.44554831E-01,.16148721E-01,.77569090E-01,.35762014E-01,.72181971,1.5020916,-.70267497E-03
-1923.8223,.57782354E-01,.24260098E-01,.30679999E-01,.32411527E-01,.74887866,1.4969673,-.60804544E-03
-1923.8223,.57782354E-01,.24260098E-01,.30679999E-01,.32411527E-01,.74887866,1.4969673,-.60804544E-03
-1925.5824,-.87926095E-01,-.80973844E-03,-.43132781E-01,-.83069775E-02,.72225477,1.5010173,-.21293441E-02
-1925.3973,-.94561869E-01,-.66108686E-01,-.59799114E-02,.49276143E-01,.73608712,1.4995557,-.99975312E-03
-1925.5059,-.15366704,-.89475216E-01,-.60688205E-01,.24631145E-01,.69817364,1.5009573,-.66096622E-03
-1926.8980,.23755542,-.12513085,.57723987E-01,.46868296E-01,.62406805,1.5012968,-.35870499E-03
-1926.2171,.26513307,-.35915150E-02,.88347241E-01,.37867407E-01,.65079988,1.5023807,-.19859304E-02
-1924.6838,.66261482E-01,-.49935588E-02,.15415466E-01,.20719700E-01,.70636387,1.4981862,-.24554678E-02
-1925.0431,-.53309362E-01,-.83832532E-02,-.21674327E-01,.52975675E-01,.74766259,1.4981458,-.15237966E-02
-1928.7534,.32837812E-01,.99402112E-01,.41583006E-02,.15824462E-01,.78674898,1.5034336,-.46028643E-02
-1925.8231,.27217574E-01,-.73772592E-01,-.63042259E-02,.32853781E-01,.69137850,1.4989667,-.28849823E-02
-1928.7045,-.17494565,.74931603E-02,-.22018802E-01,.27357301E-01,.82653190,1.4885210,-.48693362E-02
-1928.7045,-.17494565,.74931603E-02,-.22018802E-01,.27357301E-01,.82653190,1.4885210,-.48693362E-02
-1929.5129,-.32192392E-01,.15589359E-01,.85657228E-02,.59808496E-01,.81177476,1.4899854,-.57234650E-02
-1928.9522,-.23856595,.28493454E-01,-.31199590E-01,.27753220E-01,.85158797,1.4978159,-.24307713E-03
-1929.4546,-.10805270,.12850873E-01,.14676726E-01,.21169705E-01,.82251084,1.4905448,-.46147846E-02
-1929.3716,.11141187,-.55926113E-01,.55183237E-01,.68470782E-01,.69597003,1.4889240,-.56920709E-02
-1928.6208,.11609213,-.33675168E-01,.16054266E-01,-.42955747E-03,.68159135,1.4927208,-.55496782E-02
-1928.3478,.40510567,-.14325693,.99025091E-01,.41563048E-01,.52535681,1.5001329,-.15415803E-02
-1927.1717,.15042824,-.11003397,.59004163E-01,.21678808E-01,.62325603,1.4942882,-.17010011E-02
-1926.0040,.15146256,.24831182E-01,.89362084E-01,.15560072E-01,.72229601,1.4999233,-.50570324E-03
-1925.9675,.19427200,-.71612052E-01,.64267338E-01,.40088960E-02,.62719332,1.5006173,-.54540992E-03
-1927.4391,.17317922,-.13009808,.38751010E-01,.72853681E-01,.60906163,1.4971706,-.15428971E-02
-1924.9140,-.18132413E-01,-.89660006E-02,-.11267083E-01,.20740056E-01,.76456574,1.4980919,-.11052369E-02
-1927.2081,.24269824E-01,-.12653895,-.37983875E-02,.66053274E-01,.61663034,1.4996110,-.18153283E-02
-1927.9654,-.64381481E-01,-.12547179,-.51408651E-01,.49928124E-01,.63708806,1.5021773,-.34643252E-02
-1925.0412,-.47855175E-01,-.54985996E-01,-.11978282E-01,.40829597E-01,.72056982,1.4990525,-.25117071E-02
-1926.8282,.18643972,-.27252303E-01,.54531905E-01,.30457270E-01,.70017387,1.4949337,-.22513491E-02
-1925.2396,-.56062809E-01,.84732980E-02,-.25562252E-01,.23304390E-01,.76772660,1.4926567,-.26138817E-02
-1924.3850,.13512049,-.21263198E-01,.44854110E-01,.26705242E-01,.68354336,1.4994478,-.14169722E-02
-1924.0143,.10245546E-01,.70442972E-03,.36214352E-02,.19332016E-01,.72744169,1.4971195,-.17473723E-02
-1923.9165,-.68366991E-01,-.18483930E-01,-.26205748E-01,.34776684E-01,.71334234,1.5022741,-.62408482E-03
-1926.0672,.89353012E-01,.30409208E-02,.32712337E-01,.21118745E-01,.67504444,1.4986471,-.36826333E-02
-1924.0203,.57261125E-01,-.27605158E-01,-.89830601E-02,.13652589E-01,.68634355,1.4979498,-.72145074E-03
-1928.1874,-.85701509E-01,-.20726100E-01,-.50626365E-01,.27236413E-02,.73128404,1.5041923,-.66040006E-02
-1926.7163,.38976863E-01,-.11479282,.17733887E-01,.24927769E-01,.63079095,1.4965505,-.24620197E-02
-1925.8354,-.91388169E-01,-.14633748E-01,-.75454686E-02,.15852570E-02,.76752208,1.5004818,-.11326770E-02
-1926.8680,-.77538378E-01,-.44677923E-01,-.38403852E-01,.28747750E-01,.72337299,1.4890626,-.58031276E-02
