ProcessID,DelayedRejectionStage,MeanAcceptanceRate,AdaptationMeasure,BurninLocation,SampleWeight,SampleLogFunc,SampleVariable1,SampleVariable2,SampleVariable3,SampleVariable4
1,0,.88674065E-01,.0000000,25,7,-4.8242417,-10.516189,13.274354,19.651574,.18762836
1,0,.89355129E-01,.0000000,25,7,-4.1539200,-9.9945163,14.018997,20.571219,1.2509752
1,0,.88435959E-01,.0000000,25,19,-4.9347261,-10.007011,14.122422,21.115857,1.9561129
1,0,.88983549E-01,.0000000,25,3,-5.1122745,-9.4920885,14.516155,20.816971,2.1531997
1,0,.89211998E-01,.0000000,25,8,-6.6018566,-9.8405344,14.993915,21.325148,2.5236480
1,0,.89505553E-01,.37010572E-01,25,1,-7.5084361,-11.438173,15.691489,22.160931,1.6270099
1,0,.90179786E-01,.0000000,25,4,-3.8099824,-10.888713,14.760422,21.376496,1.1884479
1,0,.90062700E-01,.0000000,25,2,-6.7278529,-8.5806183,15.742189,17.741465,-2.4651228
1,0,.90402090E-01,.0000000,25,14,-3.3801097,-10.760003,13.939382,19.487494,.25344001E-01
1,0,.90248156E-01,.0000000,25,6,-4.3659660,-10.991502,13.840694,20.866484,1.5416042
1,0,.89651903E-01,.10405366E-01,25,12,-5.4051223,-8.0279962,16.718682,19.194815,-1.1419119
1,0,.89672080E-01,.0000000,25,10,-5.7919258,-8.5850717,16.136013,20.192619,-.65727147
1,0,.90323006E-01,.0000000,25,3,-5.6434760,-9.6071147,17.054583,21.260655,-.62854238
1,0,.90039895E-01,.0000000,25,5,-8.1840634,-8.4084887,13.320522,17.842130,.71983028
1,0,.90063441E-01,.18660135E-01,25,20,-4.2257248,-8.6584874,15.210999,19.021746,.19614535
1,0,.89864712E-01,.0000000,25,10,-4.7395878,-10.540742,14.480114,20.797149,1.6822656
1,0,.89853644E-01,.0000000,25,15,-3.9911103,-10.139116,16.043340,21.521507,.46903571
1,0,.90328766E-01,.0000000,25,7,-4.0740632,-8.4873630,16.409523,20.027457,-.19728144
1,0,.90947511E-01,.0000000,25,3,-3.2512193,-9.2971460,15.595535,20.620021,.78372425
1,0,.90455819E-01,.19129782E-01,25,9,-4.7724730,-11.151765,14.141477,21.512270,1.7233807
1,0,.90467035E-01,.0000000,25,1,-7.0374018,-10.383658,13.171218,21.101765,2.5050427
1,0,.91626096E-01,.0000000,25,5,-5.5911251,-9.9570156,13.075351,19.861677,1.4258889
1,0,.92154223E-01,.0000000,25,4,-5.3826409,-9.3695643,13.891884,19.936566,.70495744
1,0,.92318702E-01,.0000000,25,12,-4.5170376,-11.017058,15.523129,21.730242,.37921965
1,0,.92148787E-01,.94354230E-02,25,11,-4.8416279,-9.9017896,15.977534,21.973437,1.1765029
1,0,.92178335E-01,.0000000,25,1,-6.8944382,-10.976467,15.243931,22.571097,2.4273711
1,0,.91533569E-01,.0000000,25,27,-6.4039312,-8.1794921,14.548274,20.013054,1.6072799
1,0,.91744903E-01,.0000000,25,18,-3.5588451,-10.197919,15.095388,21.229147,1.2845135
1,0,.91810759E-01,.44947981E-01,25,10,-3.0668441,-9.8951611,15.844004,20.076147,-.63006979
1,0,.92032738E-01,.0000000,25,10,-3.0898011,-10.976045,14.816170,20.523636,.48499270E-01
1,0,.91451317E-01,.0000000,25,32,-2.8070089,-10.363723,14.931496,19.855264,-.54735124
1,0,.91279947E-01,.0000000,25,12,-4.2196217,-10.980954,14.325053,19.434199,-.16657431
1,0,.91474362E-01,.0000000,25,7,-4.3616195,-10.637675,13.518140,19.395866,.67371529
