ProcessID,DelayedRejectionStage,MeanAcceptanceRate,AdaptationMeasure,BurninLocation,SampleWeight,SampleLogFunc,SampleVariable1
1,0,.56492229,.39726603E-04,1,3,-1.2013541,.75155242
1,0,.56350385,.33091303E-02,1,3,-1.1716412,.71091872
1,0,.56449365,.0000000,1,2,-.92158337,-.72730160E-01
1,0,.56586111,.0000000,1,1,-.98871179,.37355925
1,0,.56560877,.17217125E-02,1,1,-1.6874275,1.2397491
1,0,.56363405,.0000000,1,4,-1.5964876,1.1640868
1,0,.56349540,.0000000,1,2,-1.0217497,.45345594
1,0,.56311974,.35000743E-02,1,2,-.92035921,.53304351E-01
1,0,.56337709,.0000000,1,3,-1.0418665,.49583870
1,0,.56464081,.33243734E-02,1,1,-1.1227812,.63850237
1,0,.56616838,.0000000,1,1,-.92148948,.71427577E-01
1,0,.56645319,.0000000,1,1,-1.3559356,.93487656
1,0,.56508385,.13977843E-02,1,3,-1.0194561,-.44836951
1,0,.56389330,.0000000,1,2,-1.9740437,-1.4526563
1,0,.56538681,.30945035E-02,1,1,-1.3244644,.90058415
1,0,.56602675,.0000000,1,2,-1.0613665,.53371901
1,0,.56383197,.17310232E-02,1,2,-1.7998075,1.3273048
1,0,.56340358,.0000000,1,2,-1.4652015,1.0452397
1,0,.56486377,.0000000,1,1,-.99972201,.40195391
1,0,.56618533,.23925440E-02,1,1,-1.0391576,.49034481
1,0,.56736686,.0000000,1,2,-.94971141,.24808417
1,0,.56300170,.14518987E-02,1,5,-1.2258154,-.78342435
1,0,.56319587,.18010351E-02,1,1,-1.6993327,-1.2493151
1,0,.56155762,.0000000,1,1,-4.5644653,-2.7001951
1,0,.56297195,.0000000,1,1,-.91970534,.39161461E-01
1,0,.56249705,.50794338E-02,1,2,-.94674191,-.23581082
1,0,.55945969,.0000000,1,2,-2.9774949,-2.0290670
1,0,.56085823,.0000000,1,1,-1.0719025,-.55310755
1,0,.56134044,.20010201E-02,1,2,-1.0967154,-.59628327
