ProcessID,DelayedRejectionStage,MeanAcceptanceRate,AdaptationMeasure,BurninLocation,SampleWeight,SampleLogFunc,SampleVariable1
1,0,.52592739,.0000000,1,1,-.94677185,-.23593778
1,0,.52682314,.0000000,1,1,-1.1925319,.73972070
1,0,.52586024,.98341634E-03,1,3,-1.2578377,-.82328509
1,0,.52382767,.0000000,1,2,-2.8391100,-1.9596793
1,0,.52545840,.72158821E-02,1,1,-1.1661236,.70311461
1,0,.52643317,.0000000,1,2,-.95992819,.28632028
1,0,.52461488,.21276742E-02,1,2,-1.6245043,1.1879106
1,0,.52444968,.0000000,1,2,-1.2950537,.86731210
1,0,.52604015,.0000000,1,1,-.92820639,.13614596
1,0,.52755818,.32161711E-02,1,1,-.94693117,.23661209
1,0,.52929592,.0000000,1,5,-.91969162,-.38809385E-01
1,0,.52390788,.52415766E-02,1,4,-2.8874256,-1.9841810
1,0,.52544366,.0000000,1,1,-1.6078314,1.1737912
1,0,.52540986,.94238454E-02,1,2,-1.2859907,.85679894
1,0,.52593021,.0000000,1,1,-1.6595505,-1.2170554
1,0,.52446693,.0000000,1,1,-4.3707017,-2.6274563
1,0,.52597656,.0000000,1,1,-1.3426422,-.92054734
1,0,.52698623,.15026340E-02,1,2,-1.3898532,-.97047895
1,0,.52847370,.0000000,1,1,-1.0850904,.57645795
1,0,.52580674,.43524678E-03,1,3,-1.4134312,-.99447746
1,0,.52727939,.0000000,1,1,-1.2737995,-.84244991
1,0,.52718131,.0000000,1,1,-1.9757818,1.4538523
1,0,.52718420,.32508763E-02,1,2,-1.0035146,-.41128117
1,0,.52333055,.41819292E-02,1,5,-1.0079824,-.42200451
1,0,.52342092,.41139709E-02,1,2,-1.0266129,-.46405674
1,0,.51912866,.0000000,1,4,-1.6551395,-1.2134257
1,0,.52055558,.0000000,1,1,-1.5103967,-1.0876196
1,0,.52197405,.0000000,1,1,-1.0243680,.45919377
1,0,.52338416,.0000000,1,1,-.93675519,.18876789
