ProcessID,DelayedRejectionStage,MeanAcceptanceRate,AdaptationMeasure,BurninLocation,SampleWeight,SampleLogFunc,SampleVariable1,SampleVariable2,SampleVariable3,SampleVariable4
2,0,.29389355E-01,.77529175E-02,50,11,-6.8582470,-11.190101,14.329713,18.842044,-.57937907
2,0,.29495528E-01,.0000000,50,24,-4.9953159,-10.650054,14.810398,18.684479,-1.2811445
2,0,.29657741E-01,.0000000,50,6,-5.8980747,-9.7059167,13.791596,17.535381,-1.1507875
2,0,.29804291E-01,.0000000,50,30,-5.3963222,-11.573106,14.302468,20.453614,-.83088173
2,0,.29905542E-01,.15067045E-01,50,10,-8.0783222,-10.458184,13.589097,19.536270,1.7101337
2,0,.29893199E-01,.0000000,50,3,-11.189747,-9.2537302,14.622703,19.871918,2.4727579
2,0,.30006612E-01,.0000000,50,21,-10.279819,-9.2239484,15.384578,22.273267,3.6800560
2,0,.29879122E-01,.0000000,50,52,-6.3938391,-11.036186,14.484985,21.376340,2.1497285
2,0,.29819922E-01,.0000000,50,8,-10.231521,-12.098798,12.209496,18.688001,.51884642
2,0,.29969657E-01,.36861804E-01,50,37,-6.9878678,-10.353964,12.207547,18.796629,.80822772
2,0,.29742636E-01,.0000000,50,78,-5.5631139,-10.785727,15.345949,22.399776,1.6125009
2,0,.29858587E-01,.0000000,50,19,-4.9624147,-9.2344804,14.156281,19.812557,.43407405
2,0,.29858480E-01,.0000000,50,35,-4.7043617,-11.676137,15.261575,20.939862,-.55445069
2,0,.29604157E-01,.30179874E-01,50,117,-3.8769889,-10.677022,14.381830,20.994536,.72645067
2,0,.29643839E-01,.0000000,50,48,-3.1226706,-10.319755,14.066493,19.272089,-.21155063
2,0,.29461575E-01,.0000000,50,30,-5.1746768,-9.3992051,14.621683,20.309524,1.8656365
2,0,.29384069E-01,.0000000,50,54,-5.0903370,-10.627261,14.939155,21.984239,1.4179099
2,0,.28331284E-01,.39663818E-01,50,305,-3.4710087,-11.232623,14.305088,20.144526,-.33913294
2,0,.28389890E-01,.0000000,50,39,-3.4735193,-10.289254,15.272479,20.574618,-.35471916
2,0,.28442655E-01,.0000000,50,2,-4.7179501,-10.543507,13.757651,20.955170,1.5122652
2,0,.28601761E-01,.0000000,50,4,-4.9263586,-10.182009,13.812308,20.461430,1.9178167
2,0,.28808057E-01,.0000000,50,3,-4.9348053,-9.9095756,15.353992,19.054082,-.46869598
2,0,.28879722E-01,.51298161E-01,50,24,-3.4502134,-9.1022520,14.679053,19.598840,.66124469
2,0,.28873764E-01,.0000000,50,1,-9.4157002,-11.197458,15.779163,18.477351,-3.1535546
2,0,.29080457E-01,.0000000,50,3,-6.2190480,-9.3218591,16.390353,18.506220,-2.1112916
2,0,.29148220E-01,.0000000,50,1,-7.3319791,-7.5930990,15.318152,19.852060,1.7959773
2,0,.29347906E-01,.0000000,50,4,-6.7334683,-9.9474730,13.786806,17.254304,-2.0216854
2,0,.29554571E-01,.0000000,50,3,-6.1865945,-8.7909146,14.563076,19.764403,1.8349699
2,0,.29561654E-01,.40840693E-02,50,34,-4.4752598,-10.084934,15.209762,21.180727,.34737693
